method,endpoint,sample_idx,comp_valid,Struct_valid,SUN,MSUN,terminal_verified,terminal_status,terminal_energy_eV_atom,hull_energy_eV_atom,energy_above_hull_eV_atom
H1A2_D1,native,268,1,1,0,1,0,not_converged,-5.131603717803955,-5.20062912111111,0.06902540330715468
H1A2_D1,native,269,1,0,0,0,0,invalid_raw,,-6.286152254999999,
H1A2_D1,native,270,1,0,0,0,0,invalid_raw,,-4.726353991666666,
H1A2_D1,native,271,1,0,0,0,0,invalid_raw,,-4.805392888958333,
H1A2_D1,native,272,0,0,0,0,0,invalid_raw,,-5.746246750681818,
H1A2_D1,native,273,1,0,0,0,0,invalid_raw,,-4.5878161475,
H1A2_D1,native,274,1,1,0,1,1,verified,-4.373593330383301,-4.4121433955,0.03855006511669945
H1A2_D1,native,275,1,0,0,0,0,invalid_raw,,-4.375447646484375,
H1A2_D1,native,276,1,0,0,0,0,invalid_raw,,-5.999105397175926,
H1A2_D1,native,277,1,1,0,0,1,verified,-1.8647050857543945,-2.0504891375,0.18578405174560553
H1A2_D1,native,278,1,0,0,0,0,invalid_raw,,-5.1221278275,
H1A2_D1,native,279,1,0,0,0,0,invalid_raw,,-7.903979024583332,
H1A2_D1,native,280,1,1,0,1,1,verified,-2.7608306407928467,-2.8016605543406596,0.04082991354781296
H1A2_D1,native,281,1,0,0,0,0,invalid_raw,,-8.791714443541668,
H1A2_D1,native,282,1,0,0,0,0,invalid_raw,,-3.2446934216666667,
H1A2_D1,native,283,1,1,0,0,0,invalid_terminal,-2.6226882934570312,-4.251312112750002,1.6286238192929705
H1A2_D1,native,284,1,1,0,0,1,verified,-3.7521352767944336,,
H1A2_D1,native,285,0,0,0,0,0,invalid_raw,,-5.842526910990029,
H1A2_D1,native,286,1,0,0,0,0,invalid_raw,,-5.759537465596789,
H1A2_D1,native,287,1,0,0,0,0,invalid_raw,,-9.789058354444444,
H1A2_D1,native,288,1,1,0,0,0,not_converged,-6.273595333099365,-6.383733436,0.11013810290063475
H1A2_D1,native,289,1,0,0,0,0,invalid_raw,,-6.106789206969696,
H1A2_D1,native,290,1,1,0,1,1,verified,-3.332399606704712,-3.35642271875,0.024023112045288286
H1A2_D1,native,291,1,0,0,0,0,invalid_raw,,-5.856307052833337,
H1A2_D1,native,292,1,0,0,0,0,invalid_raw,,-4.858748289999999,
H1A2_D1,native,293,1,1,0,0,0,not_converged,-5.471005439758301,-5.5824332675,0.11142782774169913
H1A2_D1,native,294,1,0,0,0,0,invalid_raw,,-4.101147137166667,
H1A2_D1,native,295,1,1,0,1,1,verified,-6.264956474304199,-6.29634838,0.03139190569580119
H1A2_D1,native,296,1,0,0,0,0,invalid_raw,,-4.654199455897437,
H1A2_D1,native,297,1,1,0,0,0,not_converged,2.156737804412842,-6.7262452365476175,8.88298304096046
H1A2_D1,native,298,1,1,0,0,1,verified,-4.470736503601074,-4.85595832,0.38522181639892583
H1A2_D1,native,299,1,1,0,0,1,verified,-4.112248420715332,,
H1A2_D1,native,300,1,0,0,0,0,invalid_raw,,-8.795292552083334,
